6235,Waffer
6239,PTI
6251,DYNAMIC
6255,Nano-Op
6257,SIGURD°@
6269,FLEXIUM
6271,THEIL
6277,ATENÅ@Å@
6281,E-LIFE MALL
6282,AcBel
6283,SOE°@
6285,WNC°@
6286,Richtek
6289,AOC°@
6505,FPCC
6605,DEPO
8008,LITE-ON IT
8016,Sitronix°@
8021,Topoint°@
8033,TT
8046,N.P.C
8070,CHANG WAH
8072,AV TECH°@
8078,CCI
8081,GMT
8101,Arima Comm.
8103,CviLux
8105,GiantPlus
8110,WALTON°@
8112,Supreme°@
8131,FATC
8163,DARFON
8201,BESTA°@
8249,CSI°@
8374,ACE PILLAR
8926,TCC°@
8940,New Palace
9102,EASTECH
9103,MEDTECS
9104,MST
9105,CCET
9106,NFA
9110,VMEP Holdings
9136,Ju Teng
9151,Want Want China
9188,YORKEY OPTICAL
9902,TIDEHOLD
9904,PCC
9905,GCM
9906,CORNER
9907,TON YI
9908,GTG
9910,FT
9911,TAIWAN SAKURA
9912,AIC
9914,MIC
9917,TAIWAN SECOM
9918,S.S.N.G
9919,KNH
9921,GIANT
9922,UB
9924,TAIWAN FU HSING
9925,SKS
9926,S.H.
9927,TMI
9928,CTV
9929,CHOICE
9930,CHC
9931,HSIN KAO
9933,CTCI
9934,GUIC
9935,CF
9937,NPC
9938,TAIWAN PAIHO
9939,HON CHUAN
9940,Sinyi Realty
9941,TAC
9942,MAO SHUN
9943,HOLIDAY
9944,Shinih
9945,RUENTEX DEVELOP
9955,SDTI°@
9958,CIAS°@
1107,CHIEN TAI
1333,Entery
1336,TAIHAN
1558,ZENG HSING
1565,St.Shine°@
1569,Bin Chuan
1570,De Poan
1580,SINMAG
1582,SYNCMOLD
1584,STC
1742,TWC
1752,NANG KUANG°@
1777,SYN-TECH
1781,H&L
1784,BIONET
1785,Solar
1787,JINTEX
1788,HCI
1799,Actherm
1813,Polylite
1815,FFG
2035,TE°@
2114,HYC
2221,YHMCO°@
2231,CUB
2381,ARIMA
2396,PRODISC
2596,ReaLy
2636,THI
2916,MUNSIN°@
2921,HOLA
3064,Astro Corp.
3066,TAIWAN OASIS°@
3067,Phonic
3068,MAG.
3069,BOSER°@
3071,ADDA°@
3073,PRESCOPE°@
3078,CWT°@
3083,CHINESEGAMER
3085,GUTA°@
3086,WAYI°@
3087,PSMC
3088,AXIOMTEK
3089,JAAN CHERNG
3093,TKK°@
3095,CCC
3099,J-THREE
3114,HT
3115,TSC°@
3118,LEVEL
3126,ACARD
3128,HI SHARP
3144,ThinFlex
3152,ACX
3162,UATC
3164,GenMont°@
3171,TERMTEK°@
3188,AME°@
3191,HOLD JINN°@
3202,HIGH-TEK
3205,SLS
3206,KINGSTATE
3207,YAO SHENG
3211,Dynapack
3213,CReTE
3217,ARGOSY
3218,UNIVERSAL
3219,SQ
3221,TST
3224,MetaTech
3226,TOPOWER
3227,PXI
3228,RDC
3229,CHEER TIME
3230,Jiin Ming
3232,SIC
3236,ABC
3252,BIT
3259,3S
3260,A-DATA
3264,Ardentec
3265,SCTS
3266,OB
3268,Higher Way
3276,YEU HWAN
3284,TOP
3287,Kworld
3288,SiTI
3289,IST
3290,DONPON
3291,FTC
3293,IGS
3294,Megaforce
3297,Hunt
3299,BH
3303,UNIVACCO
3306,RoyalTek
3310,CHIALIN
3312,G.M.I
3313,FCE
3317,NIKO-SEM
3322,JEM
3323,Celxpert
3324,AURAS
3325,Casing
3332,CINCON
3339,TEKCORE
3354,MICROCOSM
3360,SUNNIC
3362,ABILITY
3372,TICP
3373,Radiant
3388,TTC
3389,TECHMOSA
3390,SUNFLEX
3402,WHOLETECH
3416,WinMate
3431,HOLUX
3434,ACULA
3438,AAT
3444,NICHING
3452,E-TON SOLAR
3454,VIVOTEK
3455,UTECHZONE
3465,SAMYA
3466,SKARDIN
3483,Forcecon
3484,SOLTEAM
3489,MAPOWER
3490,singlewell
3491,UMT
3498,USUN
3499,GLOBALSAT
3508,Ways
3511,SIMULA TECH INC
3512,NENG TYI
3516,ADO
3520,JVE
3521,DataVan
3522,HLT
3523,EFUN
3526,ALLTOP
3527,MBI
3531,Shian Yih
3540,Thermaltake
3546,Userjoy
3548,JARLLY
3551,SHT
3552,TUNG THIH
3553,Zentel
3556,EETI
3562,TYNSOLAR
3570,OITC
3577,ICP DAS
3587,ma-tek
3611,TSC AUTO ID
3615,AimCore
3625,C-TECH
3652,Unitech Elec
4102,YUNGZIP°@
4103,MLC
4105,TTY°@
4107,BIOTEQUE
4109,CHIA JEI
4111,CHI SHENG 
4113,WE&WIN
4114,SYNMOSA
4120,OEP
4121,ROSSMAX
4123,Center Lab.
4126,PAHSCO°@
4127,TLB
4128,MICROBIO°@
4129,UOC°@
4131,DR.Chip
4205,HYFICL°@
4207,TFC
4303,HSINLI
4304,SUNVIC
4305,SKP
4401,TLOONG°@
4402,FU-TA°@
4406,HSIN-SIN
4408,LIEN MING°@
4413,F.P.E
4415,Mega
4416,SHANYUAN 
4417,KING°@CHOU
4419,M T I°@
4420,Kwang Ming
4426,LI CHENG
4502,YF°@
4503,GOLD RAIN°@
4506,GFC°@
4510,KAFO°@
4513,FALCON°@
4523,TWNCAL°@
4527,KL°@
4528,CHF°@
4529,MOTOMAX°@
4530,HPI Group°@
4533,SEYI
4534,trinity
4535,FBT
4609,AIRLUX
4702,ALLIED 
4703,ME KEL0NG
4706,TKC°@
4707,PACC°@
4711,YONG SHUN°@
4712,NTI°@
4714,UB°@
4716,DAILY°@
4720,TEX YEAR°@
4721,mechema°@
4722,QPC
4729,MILDEX
4733,SWANCOR
4801,MASTER
4903,UFOC
4905,TAINET°@
4907,C-COM°@
4908,APAC°@
4909,NEE
5007,SAN SHING 
5009,GMTC°@
5011,OFCO°@
5013,NEW BEST
5014,N/A
5015,RODEX°@
5016,Song ho
5102,FU CHIAN°@
5201,KWAY
5202,NewSoft°@
5204,STC
5205,FAST TECH.
5206,UTSI
5209,ACS
5210,APEX
5211,PenPower
5212,HYWEB°@
5213,YeaShin
5301,CADAC
5302,STK°@
5304,DBTEL°@
5306,N/A
5309,N/A
5310,CGS
5312,FORMOSA
5314,Myson
5315,U.R.T.
5317,KAIMEI
5318,VERTEX°@
5321,B.F.
5324,PIC°@
5326,EPISIL°@
5328,HJC°@
5340,BAOTEK
5344,VATE
5345,Team Young°@
5346,PSC
5347,VIS
5348,TSI°@
5349,BOARDTEK°°°°
5351,Etron°@
5353,TAILYN°@
5355,PSC
5356,SIRTEC°@
5364,WonTen
5371,Coretronic°@
5381,UNIPLUS°@
5383,KENLY
5384,GENUINE
5386,ALBATRON°@
5387,ProMOS
5392,AVY
5395,ELEMENTS
5398,INALWAYS°@
5403,DDSC°@
5410,LEO
5425,TSC°@
5426,CF°@
5432,DATA VISION°@
5438,TIS
5439,FHt
5443,GPM
5450,PROLINK°@
5452,UNIC
5455,SSE°@
5457,SPEED TECH°@
5460,MUSTANG
5464,LIN HORN
5465,LFE
5466,TLC
5467,UFSC
5468,TMTECH
5474,YUAN
5475,GLOTECH°@
5478,SOFT-WORLD°@
5480,tmt°@
5481,HWA WOEI
5483,SAS°@
5487,TONTEK°@
5488,SP
5489,DYNACOLOR
5490,XAC°@
5491,ACON°@
5493,SAN LIEN°@
5498,KEY WARE°@
5505,N/A
5506,EGC°@
5508,YCDC°@
5511,TE CHANG°@
5512,RICH°@
5514,SUN FON
5516,SUN-SEA
5519,LD
5520,Lihtai
5521,KSECO°@
5523,HUNGTU
5529,Well Glory°@
5530,DAHAN
5601,TACT°@
5603,SEA&LAND
5604,CLTC°@
5609,DIMERCO
5701,JFS
5703,Landis Taipei°@
5704,Chihpen Royal
5706,PHX TOUR
5820,JIHSUN FHC°@
5902,Tait
5903,FamilyMart°@
5904,Poya°@
5905,NRL
6008,KGI
6015,HORIZON Sec.
